City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,30.43,76,0,6.17,US,1719428789
1,shingu,33.7333,135.9833,21.18,76,100,1.46,JP,1719428790
2,luanda,-8.8368,13.2343,23.0,83,75,2.06,AO,1719428790
3,waitangi,-43.9535,-176.5597,9.9,82,100,3.58,NZ,1719428791
4,papatowai,-46.5619,169.4708,6.16,94,100,2.78,NZ,1719428791
5,sandnessjoen,66.0217,12.6316,15.29,76,0,3.6,NO,1719428792
6,bilibino,68.0546,166.4372,12.71,64,10,1.89,RU,1719428793
7,albany,42.6001,-73.9662,30.37,49,100,1.34,US,1719428793
8,bethel,41.3712,-73.414,32.8,57,20,5.14,US,1719428794
9,carnarvon,-24.8667,113.6333,20.8,77,0,6.61,AU,1719428795
10,vila franca do campo,37.7167,-25.4333,21.23,99,6,2.01,PT,1719428795
11,bredasdorp,-34.5322,20.0403,11.44,94,0,2.45,ZA,1719428796
12,taro,-8.3862,115.28,22.0,97,80,0.37,ID,1719428796
13,kingston,17.997,-76.7936,24.53,88,75,15.43,JM,1719428595
14,west island,-12.1568,96.8225,26.99,74,20,5.14,CC,1719428675
15,blackmans bay,-43.0167,147.3167,7.07,85,100,2.76,AU,1719428798
16,flying fish cove,-10.4217,105.6791,25.82,88,100,4.12,CX,1719428799
17,makarska,43.2969,17.0178,25.22,81,94,0.9,HR,1719428799
18,broome,42.2506,-75.833,31.0,48,0,2.68,US,1719428800
19,minas de marcona,-15.2119,-75.1103,16.69,59,41,7.7,PE,1719428800
20,khandyga,62.6667,135.6,10.1,53,97,2.22,RU,1719428801
21,adamstown,-25.066,-130.1015,22.36,85,0,4.61,PN,1719428801
22,enewetak,11.3474,162.3373,27.98,83,17,7.94,MH,1719428803
23,cabo san lucas,22.8909,-109.9124,32.01,48,0,4.12,MX,1719428804
24,hermanus,-34.4187,19.2345,14.33,80,0,4.27,ZA,1719428805
25,fisterra,42.9049,-9.2629,21.12,85,12,8.85,ES,1719428805
26,el calafate,-50.3408,-72.2768,-2.04,83,12,1.16,AR,1719428806
27,tobelo,1.7284,128.0095,26.02,82,94,1.02,ID,1719428807
28,san carlos,9.6612,-68.5827,26.81,90,61,2.4,VE,1719428295
29,massawa,15.6097,39.45,36.05,36,99,2.05,ER,1719428808
30,beykonak,36.3257,30.303,27.88,73,19,0.37,TR,1719428809
31,aripuana,-9.1667,-60.6333,37.06,22,0,1.0,BR,1719428810
32,valparaiso,-33.0393,-71.6273,20.8,40,0,8.75,CL,1719428811
33,cuenca,-2.8833,-78.9833,19.07,48,75,3.6,EC,1719428300
34,pisco,-13.7,-76.2167,18.56,73,17,3.91,PE,1719428812
35,yellowknife,62.456,-114.3525,19.12,50,6,1.34,CA,1719428813
36,kharp,66.8014,65.8081,16.9,92,100,1.89,RU,1719428814
37,port-aux-francais,-49.35,70.2167,4.02,93,100,7.89,TF,1719428815
38,olyokminsk,60.3736,120.4264,10.45,73,65,1.3,RU,1719428815
39,invercargill,-46.4,168.35,5.57,96,100,1.34,NZ,1719428816
40,lihue,21.9789,-159.3672,27.58,76,40,5.14,US,1719428732
41,stanley,54.868,-1.6985,21.95,74,20,2.06,GB,1719428818
42,ribeira grande,38.5167,-28.7,23.22,68,20,5.66,PT,1719428818
43,polyarnyy,69.1989,33.4478,10.89,67,100,2.99,RU,1719428819
44,maragogi,-9.0122,-35.2225,25.83,78,13,4.52,BR,1719428820
45,avarua,-21.2078,-159.775,24.03,64,20,6.17,CK,1719428821
46,longyearbyen,78.2186,15.6401,6.91,81,75,6.69,SJ,1719428822
47,stung treng,13.5259,105.9683,23.47,96,66,0.36,KH,1719428822
48,dickinson,29.4608,-95.0513,36.16,72,75,5.14,US,1719428692
49,badger,64.8,-147.5333,23.89,49,0,1.54,US,1719428824
50,hit,33.6416,42.8251,35.89,12,0,5.07,IQ,1719428825
51,vila velha,-20.3297,-40.2925,27.97,65,47,4.12,BR,1719428773
52,mar del plata,-38.0023,-57.5575,12.83,68,0,10.29,AR,1719428214
53,lubang,13.8584,120.124,28.66,79,100,9.71,PH,1719428827
54,cadale,2.7603,46.3222,25.64,85,17,10.03,SO,1719428828
55,jamestown,42.097,-79.2353,25.77,80,100,3.09,US,1719428830
56,montes claros,-16.735,-43.8617,27.88,36,0,2.06,BR,1719428671
57,riberalta,-10.9833,-66.1,35.11,49,40,3.09,BO,1719428746
58,inderbor,48.55,51.7833,15.86,67,15,3.07,KZ,1719428833
59,xiaolingwei,32.0333,118.85,22.34,95,100,1.02,CN,1719428834
60,ushuaia,-54.8,-68.3,0.81,75,75,0.51,AR,1719428684
61,iskateley,67.6803,53.1512,5.37,76,0,4.62,RU,1719428835
62,noumea,-22.2763,166.4572,15.99,78,10,3.8,NC,1719428676
63,wailua homesteads,22.0669,-159.378,27.24,81,40,5.14,US,1719428837
64,aksu,41.1231,80.2644,29.33,17,58,3.48,CN,1719428838
65,los chavez,34.727,-106.7384,37.89,29,98,1.88,US,1719428838
66,grytviken,-54.2811,-36.5092,-5.21,83,26,5.36,GS,1719428839
67,ambalangoda,6.2355,80.0538,27.77,85,100,5.59,LK,1719428840
68,puerto natales,-51.7236,-72.4875,1.25,93,20,1.03,CL,1719428842
69,fortuna,40.5982,-124.1573,17.18,81,100,3.09,US,1719428842
70,cole harbour,44.6724,-63.4751,24.42,66,0,2.68,CA,1719428843
71,atafu village,-8.5421,-172.5159,27.96,81,96,7.65,TK,1719428844
72,ad dawadimi,24.5077,44.3924,32.64,12,27,3.18,SA,1719428845
73,nova sintra,14.8667,-24.7167,23.29,81,0,6.44,CV,1719428846
74,selfoss,63.9331,-20.9971,15.02,62,77,1.23,IS,1719428847
75,torghay,49.6339,63.4981,22.72,37,80,4.6,KZ,1719428847
76,tarko-sale,64.9225,77.785,19.1,72,0,4.96,RU,1719428848
77,saipan,15.1355,145.701,28.39,78,20,6.17,MP,1719428849
78,margate,51.3813,1.3862,23.16,78,0,1.51,GB,1719428850
79,whitehorse,60.7161,-135.0538,23.39,28,9,3.15,CA,1719428850
80,ilulissat,69.2167,-51.1,5.01,87,75,2.57,GL,1719428851
81,isafjordur,66.0755,-23.124,6.0,88,100,1.5,IS,1719428852
82,ataq,14.5377,46.8319,29.04,51,100,3.56,YE,1719428852
83,boca suno,-0.7167,-77.1333,25.77,73,92,1.17,EC,1719428853
84,lata,40.1629,-8.3327,22.73,64,6,2.98,PT,1719428854
85,kuusamo,65.9667,29.1833,16.02,94,40,1.54,FI,1719428855
86,yauya,-8.9833,-77.3,16.84,39,66,1.86,PE,1719428856
87,nola,40.922,14.5329,23.55,72,3,1.78,IT,1719428857
88,puerto ayora,-0.7393,-90.3518,27.98,88,39,2.68,EC,1719428857
89,broken hill,-31.95,141.4333,8.01,58,0,3.24,AU,1719428858
90,hammerfest,70.6634,23.6821,10.25,71,75,7.72,NO,1719428859
91,newman,37.3138,-121.0208,32.91,13,0,0.54,US,1719428859
92,fale old settlement,-9.3852,-171.2468,28.55,78,100,8.58,TK,1719428860
93,jiangyou,31.7667,104.7167,19.35,96,83,0.47,CN,1719428861
94,margaret river,-33.95,115.0667,10.47,93,100,3.34,AU,1719428862
95,kodiak,57.79,-152.4072,8.73,100,100,5.14,US,1719428862
96,cordele,31.9635,-83.7824,38.17,30,0,0.0,US,1719428863
97,at taj,24.2049,23.2857,32.17,12,0,3.65,LY,1719428864
98,nago,26.5881,127.9761,28.24,92,100,2.18,JP,1719428864
99,calatagan,13.8833,120.65,26.99,85,99,6.19,PH,1719428865
100,thompson,55.7435,-97.8558,17.46,30,99,4.22,CA,1719428866
101,nchelenge,-9.3451,28.734,18.91,54,0,2.45,ZM,1719428750
102,kalmunai,7.4167,81.8167,28.6,65,100,2.17,LK,1719428867
103,hamilton,39.1834,-84.5333,27.17,76,40,3.6,US,1719428639
104,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,87,100,0.0,RU,1719428868
105,malvan,16.0667,73.4667,26.67,93,100,11.1,IN,1719428769
106,fountain,38.6822,-104.7008,32.6,32,75,3.09,US,1719428569
107,new norfolk,-42.7826,147.0587,7.72,91,100,0.86,AU,1719428870
108,magadan,59.5667,150.8,6.49,97,100,3.59,RU,1719428871
109,khorinsk,52.1657,109.7726,14.34,89,85,1.16,RU,1719428872
110,georgetown,5.4112,100.3354,28.96,78,20,1.54,MY,1719428373
111,chonchi,-42.6128,-73.8092,11.56,92,100,3.61,CL,1719428873
112,tabuk,17.4189,121.4443,22.91,89,95,1.68,PH,1719428874
113,mejit,10.2753,170.8646,27.82,77,20,8.1,MH,1719428874
114,olonkinbyen,70.9221,-8.7187,0.35,86,100,4.76,SJ,1719428875
115,tual,-5.6667,132.75,26.21,89,65,7.45,ID,1719428876
116,khanty-mansiysk,61.0042,69.0019,17.06,67,0,2.0,RU,1719428876
117,qaqortoq,60.7167,-46.0333,3.34,90,100,1.82,GL,1719428877
118,talnakh,69.4865,88.3972,21.94,58,23,3.72,RU,1719428878
119,altay,47.8667,88.1167,18.68,60,0,3.01,CN,1719428879
120,erenhot,43.6475,111.9767,23.61,45,28,9.42,CN,1719428880
121,san antonio de pale,-1.4014,5.6325,23.68,88,100,3.16,GQ,1719428880
122,chibougamau,49.9168,-74.3659,11.17,64,100,2.86,CA,1719428881
123,port lincoln,-34.7333,135.8667,11.06,90,6,3.89,AU,1719428882
124,pemba,-12.974,40.5178,26.39,94,75,6.69,MZ,1719428882
125,jayapura,-2.5333,140.7,24.66,92,100,1.52,ID,1719428883
126,tiksi,71.6872,128.8694,0.7,98,100,2.71,RU,1719428884
127,port elizabeth,-33.918,25.5701,12.83,94,0,0.68,ZA,1719428885
128,anadyr,64.75,177.4833,5.28,100,100,5.81,RU,1719428885
129,edinburgh of the seven seas,-37.0676,-12.3116,12.78,92,100,11.53,SH,1719428886
130,unai,-16.3575,-46.9061,29.83,28,0,0.25,BR,1719428887
131,pavlovsk,50.4578,40.1081,14.7,86,100,2.85,RU,1719428889
132,timaru,-44.4,171.25,7.26,85,91,2.15,NZ,1719428890
133,vorgashor,67.5833,63.95,11.46,96,100,4.2,RU,1719428893
134,mount isa,-20.7333,139.5,15.87,36,6,4.63,AU,1719428893
135,hasaki,35.7333,140.8333,23.22,89,100,4.68,JP,1719428894
136,katsuura,35.1333,140.3,21.77,84,100,4.61,JP,1719428895
137,kavieng,-2.5744,150.7967,27.7,81,100,4.91,PG,1719428896
138,punta arenas,-53.15,-70.9167,2.06,93,100,2.06,CL,1719428897
139,keflavik,64.0049,-22.5624,11.24,71,40,5.14,IS,1719428897
140,akureyri,65.6835,-18.0878,13.73,53,35,2.05,IS,1719428898
141,ayorou,14.7308,0.9174,39.05,26,7,0.71,NE,1719428899
142,cedeira,43.6797,-8.0209,19.36,75,36,5.31,ES,1719428900
143,dazhong,33.1997,120.4578,22.56,93,100,3.73,CN,1719428901
144,michurinsk,52.8978,40.4907,13.4,95,22,3.28,RU,1719428901
145,rongelap,11.1635,166.8941,28.1,79,73,9.17,MH,1719428902
146,cayambe,0.05,-78.1333,18.59,64,93,1.87,EC,1719428903
147,kendari,-3.945,122.4989,23.2,95,12,0.38,ID,1719428903
148,safford,32.834,-109.7076,38.51,28,0,5.66,US,1719428904
149,guerrero negro,27.9769,-114.0611,22.45,66,36,7.89,MX,1719428905
150,kosh-agach,50.0,88.6667,14.21,71,2,1.91,RU,1719428905
151,dudinka,69.4058,86.1778,23.17,57,100,4.63,RU,1719428906
152,tura,25.5198,90.2201,25.23,93,99,1.08,IN,1719428907
153,port alfred,-33.5906,26.891,14.93,85,0,1.61,ZA,1719428907
154,bafoulabe,13.8065,-10.8321,38.28,27,9,2.01,ML,1719428908
155,taoudenni,22.6783,-3.9836,42.01,7,10,4.82,ML,1719428909
156,caleta de carquin,-11.0925,-77.6267,19.93,70,9,4.01,PE,1719428909
157,haiku-pauwela,20.9219,-156.3051,27.32,74,20,9.26,US,1719428910
158,kota kinabalu,5.9749,116.0724,24.99,94,20,1.03,MY,1719428911
159,uturoa,-16.7333,-151.4333,26.37,77,0,8.85,PF,1719428911
160,lebu,-37.6167,-73.65,11.92,96,100,5.91,CL,1719428912
161,college,64.8569,-147.8028,23.94,47,75,1.54,US,1719428913
162,lokossa,6.6387,1.7167,24.45,91,48,2.91,BJ,1719428914
163,ust-nera,64.5667,143.2,5.64,99,100,2.53,RU,1719428915
164,iqaluit,63.7506,-68.5145,3.07,72,95,3.57,CA,1719428704
165,igarka,67.4667,86.5833,18.99,63,19,4.53,RU,1719428917
166,prado,-17.3411,-39.2208,25.06,70,1,3.66,BR,1719428730
167,berdigestyakh,62.0989,126.6992,12.26,52,100,5.98,RU,1719428918
168,kamensk-ural'skiy,56.4185,61.9329,12.73,87,100,2.34,RU,1719428919
169,labrador city,52.9463,-66.9114,7.95,87,100,5.79,CA,1719428919
170,la passe,45.5549,-0.8967,30.13,81,6,3.15,FR,1719428920
171,tadine,-21.55,167.8833,20.25,74,70,4.63,NC,1719428922
172,presidente medici,-11.1753,-61.9014,36.16,25,0,0.68,BR,1719428756
173,belmonte,-15.8631,-38.8828,25.31,65,2,1.81,BR,1719428923
174,hilo,19.7297,-155.09,27.19,74,40,2.57,US,1719428924
175,champerico,14.3,-91.9167,34.3,77,10,4.52,GT,1719428924
176,south hedland,-20.4089,118.5983,15.96,82,0,2.57,AU,1719428925
177,beatrice,40.2681,-96.747,28.99,65,0,3.09,US,1719428927
178,baardheere,2.3446,42.2764,26.83,68,100,11.11,SO,1719428699
179,yamada,39.4667,141.95,12.8,88,100,2.22,JP,1719428930
180,metlili chaamba,32.2667,3.6333,39.35,8,100,5.38,DZ,1719428932
181,aasiaat,68.7098,-52.8699,2.8,87,100,1.97,GL,1719428933
182,kuybyshev,55.4475,78.3218,19.6,86,35,4.92,RU,1719428934
183,hawaiian paradise park,19.5933,-154.9731,27.07,73,40,2.57,US,1719428935
184,longboat key,27.4125,-82.659,33.49,56,0,5.66,US,1719428936
185,kiunga,-6.1219,141.2906,23.58,100,100,0.29,PG,1719428937
186,utrik,11.2278,169.8474,28.12,68,100,8.71,MH,1719428938
187,lagos,6.5833,3.75,28.18,89,47,2.08,NG,1719428705
188,sang-e charak,35.8497,66.4369,24.37,38,45,2.1,AF,1719428939
189,port mathurin,-19.6833,63.4167,22.44,61,43,10.83,MU,1719428940
190,codrington,-38.2667,141.9667,6.04,95,26,4.8,AU,1719428941
191,nishinoomote,30.7333,131.0,26.22,84,40,2.22,JP,1719428942
192,tazovsky,67.4667,78.7,17.09,92,100,4.61,RU,1719428942
193,ma'rib,15.4591,45.3253,34.74,12,98,2.48,YE,1719428943
194,sitka,57.0531,-135.33,15.94,77,40,2.06,US,1719428944
195,lichinga,-13.3128,35.2406,15.05,72,75,2.57,MZ,1719428944
196,pacific grove,36.6177,-121.9166,24.34,85,75,4.63,US,1719428945
197,gumdag,39.2061,54.5906,30.15,31,17,1.53,TM,1719428946
198,general ramirez,-32.176,-60.2008,13.15,49,28,4.54,AR,1719428947
199,prineville,44.2999,-120.8345,29.46,17,0,5.66,US,1719428947
200,ibarreta,-25.2144,-59.8585,18.81,43,97,2.62,AR,1719428948
201,lamas,-6.4167,-76.5333,30.26,58,7,0.89,PE,1719428855
202,ancud,-41.8697,-73.8203,10.75,93,100,7.67,CL,1719428832
203,cotija de la paz,19.8167,-102.6833,26.24,46,40,2.52,MX,1719428950
204,vilyuchinsk,52.9306,158.4028,8.15,89,100,0.6,RU,1719428951
205,shenjiamen,29.9576,122.298,23.14,99,100,4.21,CN,1719428952
206,verkhnevilyuysk,63.4453,120.3167,12.41,69,100,2.05,RU,1719428952
207,barah,13.7,30.3667,36.24,23,95,3.6,SD,1719428953
208,mount gambier,-37.8333,140.7667,5.54,97,27,2.32,AU,1719428954
209,sept-iles,50.2001,-66.3821,17.29,94,75,2.57,CA,1719428807
210,praia,14.9215,-23.5087,26.3,65,20,8.75,CV,1719428955
211,vadso,70.0744,29.7487,14.49,66,0,6.17,NO,1719428956
212,osby,56.3816,13.9936,19.07,74,0,2.09,SE,1719428957
213,pinhao,-25.6956,-51.6597,13.44,98,100,3.22,BR,1719428957
214,lesnoy,57.6198,63.0784,12.26,93,50,2.05,RU,1719428958
215,emmett,43.8735,-116.4993,32.82,30,6,1.34,US,1719428959
216,chervonohryhorivka,47.623,34.5389,21.82,50,1,5.06,UA,1719428960
217,puerto san jose,13.9256,-90.8244,33.03,72,40,4.12,GT,1719428960
218,st. john's,47.5649,-52.7093,18.97,92,100,0.89,CA,1719428962
219,howrah,22.5892,88.3103,30.0,84,40,2.06,IN,1719428963
220,upper dir,35.2058,71.8756,22.5,52,95,4.88,PK,1719428964
221,tangalle,6.024,80.7911,25.09,80,100,5.85,LK,1719428671
222,maiduguri,11.8464,13.1603,34.85,36,100,2.46,NG,1719428965
223,kununurra,-15.7667,128.7333,12.99,88,28,0.0,AU,1719428966
224,mulanje,-16.0316,35.5,16.6,98,100,2.71,MW,1719428968
225,conduaga,8.862,117.4893,25.48,87,99,1.49,PH,1719428969
226,nemuro,43.3236,145.575,10.73,89,0,4.02,JP,1719428969
227,east london,-33.0153,27.9116,16.93,79,0,1.99,ZA,1719428970
228,udachny,66.4167,112.4,15.64,48,100,1.47,RU,1719428971
229,fort bragg,35.139,-79.006,38.03,43,40,6.17,US,1719428971
230,callao,-12.0667,-77.15,20.23,82,100,2.06,PE,1719428972
231,nikolayevsk-on-amure,53.1406,140.73,13.52,79,10,2.12,RU,1719428973
232,viedma,-40.8135,-62.9967,10.87,66,100,7.61,AR,1719428578
233,mariehamn,60.0973,19.9348,18.23,82,0,3.6,AX,1719428975
234,novoishimskiy,53.1981,66.7694,15.9,79,80,1.51,KZ,1719428975
235,santa elena de uairen,4.6167,-61.1333,23.13,69,100,1.95,VE,1719428976
236,balurghat,25.2167,88.7667,30.91,67,53,1.92,IN,1719428977
237,sawakin,19.1059,37.3321,33.84,37,9,3.48,SD,1719428978
238,hadibu,12.65,54.0333,26.8,77,81,8.02,YE,1719428979
239,northam,51.0333,-4.2167,18.55,86,12,3.92,GB,1719428979
240,yanam,16.7333,82.2167,27.02,85,100,3.1,IN,1719428980
241,barabai,-2.5833,115.3833,23.03,97,99,0.43,ID,1719428981
242,san carlos de bariloche,-41.1456,-71.3082,7.86,81,75,11.83,AR,1719428787
243,linkoping,58.4109,15.6216,24.21,53,0,1.54,SE,1719428934
244,makary,12.5717,14.4666,33.59,41,90,3.43,CM,1719428983
245,undurkhaan,47.3194,110.6556,15.96,71,16,1.85,MN,1719428983
246,mahibadhoo,3.7833,72.9667,28.81,78,100,5.06,MV,1719428984
247,miquelon,47.0975,-56.3814,15.0,94,100,4.37,PM,1719428985
248,grand falls-windsor,48.9332,-55.6649,22.5,65,0,1.64,CA,1719428985
249,constantia,44.1833,28.65,21.38,64,0,4.34,RO,1719428987
250,korla,41.7597,86.1469,28.01,30,9,4.21,CN,1719428988
251,pimentel,-6.8367,-79.9342,20.01,73,18,6.53,PE,1719428801
252,mount pearl,47.5166,-52.7813,18.51,91,100,3.58,CA,1719428989
253,sur,22.5667,59.5289,34.89,50,100,4.56,OM,1719428990
254,saarijarvi,62.7049,25.254,25.09,65,88,2.71,FI,1719428990
255,puerto santa,-8.9906,-78.6456,20.23,72,86,4.13,PE,1719428991
256,kolonia town,6.964,158.206,28.93,74,27,6.29,FM,1719428992
257,nabire,-3.3667,135.4833,24.38,96,100,1.13,ID,1719428992
258,happy valley-goose bay,53.3168,-60.3315,28.97,30,99,7.39,CA,1719428993
259,acarau,-2.8856,-40.12,28.14,73,8,6.72,BR,1719428994
260,ban huai thalaeng,14.9833,102.65,24.34,90,100,2.28,TH,1719428994
261,kirtland,36.7342,-108.3598,31.62,31,100,2.25,US,1719428402
262,eaton socon,52.2175,-0.2893,25.9,74,47,2.35,GB,1719428996
263,santo antonio,-6.3106,-35.4789,26.47,78,65,4.97,BR,1719428795
264,nizhnevartovsk,60.9344,76.5531,17.01,88,0,0.0,RU,1719428794
265,vranje,42.5514,21.9003,16.77,94,100,3.3,RS,1719428998
266,alofi,-19.0595,-169.9187,16.94,94,88,1.03,NU,1719428999
267,inongo,-1.95,18.2667,24.6,46,97,1.9,CD,1719429000
268,tinajo,29.0788,-13.7081,22.49,53,40,8.23,ES,1719429001
269,kone,-21.0595,164.8658,17.71,88,10,1.97,NC,1719429002
270,saskatoon,52.1168,-106.6345,20.6,49,100,3.27,CA,1719428367
271,porto novo,6.4965,2.6036,25.15,85,93,2.73,BJ,1719429004
272,kavarna,43.4333,28.3333,21.6,80,0,3.14,BG,1719429004
273,mersin,36.862,34.6509,26.21,82,0,1.88,TR,1719429005
274,brokopondo,4.75,-55.1667,25.44,81,100,0.55,SR,1719429006
275,kijang,35.2442,129.2139,18.77,71,100,1.6,KR,1719429006
276,zaysan,47.4667,84.8667,22.17,40,0,4.24,KZ,1719429007
277,vanimo,-2.6741,141.3028,25.09,90,100,1.64,PG,1719429008
278,nar'yan-mar,67.6713,53.087,5.32,77,0,4.64,RU,1719429009
279,kavaratti,10.5669,72.642,27.27,85,100,10.64,IN,1719429009
280,klyuchi,52.2667,79.1667,21.73,77,0,3.71,RU,1719429011
